,rank_1_max_pae,median_ranks_max_pae,mean_ranks_max_pae,std_ranks_max_pae,rank_1_ptm,median_ranks_ptm,mean_ranks_ptm,std_ranks_ptm,rank_1_iptm,median_ranks_iptm,mean_ranks_iptm,std_ranks_iptm,rank_1_multimer,median_ranks_multimer,mean_ranks_multimer,std_ranks_multimer,rank_1_max_plddt,median_ranks_max_plddt,mean_ranks_max_plddt,std_ranks_max_plddt,rank_1_median_plddt,median_ranks_median_plddt,mean_ranks_median_plddt,std_ranks_median_plddt,rank_1_mean_plddt,median_ranks_mean_plddt,mean_ranks_mean_plddt,std_ranks_mean_plddt,rank_1_std_plddt,median_ranks_std_plddt,mean_ranks_std_plddt,std_ranks_std_plddt,rank_1_max_pep_plddt,median_ranks_max_pep_plddt,mean_ranks_max_pep_plddt,std_ranks_max_pep_plddt,rank_1_median_pep_plddt,median_ranks_median_pep_plddt,mean_ranks_median_pep_plddt,std_ranks_median_pep_plddt,rank_1_mean_pep_plddt,median_ranks_mean_pep_plddt,mean_ranks_mean_pep_plddt,std_ranks_mean_pep_plddt,rank_1_std_pep_plddt,median_ranks_std_pep_plddt,mean_ranks_std_pep_plddt,std_ranks_std_pep_plddt,nb_ranks,rank_1_min_dist,median_ranks_min_dist,mean_ranks_min_dist,std_ranks_min_dist,rank_1_median_dist,median_ranks_median_dist,mean_ranks_median_dist,std_ranks_median_dist,rank_1_mean_dist,median_ranks_mean_dist,mean_ranks_mean_dist,std_ranks_mean_dist,rank_1_std_dist,median_ranks_std_dist,mean_ranks_std_dist,std_ranks_std_dist,rank_1_max_16_prob,median_ranks_max_16_prob,mean_ranks_max_16_prob,std_ranks_max_16_prob,rank_1_median_16_prob,median_ranks_median_16_prob,mean_ranks_median_16_prob,std_ranks_median_16_prob,rank_1_mean_16_prob,median_ranks_mean_16_prob,mean_ranks_mean_16_prob,std_ranks_mean_16_prob,rank_1_std_16_prob,median_ranks_std_16_prob,mean_ranks_std_16_prob,std_ranks_std_16_prob,rank_1_max_17_prob,median_ranks_max_17_prob,mean_ranks_max_17_prob,std_ranks_max_17_prob,rank_1_median_17_prob,median_ranks_median_17_prob,mean_ranks_median_17_prob,std_ranks_median_17_prob,rank_1_mean_17_prob,median_ranks_mean_17_prob,mean_ranks_mean_17_prob,std_ranks_mean_17_prob,rank_1_std_17_prob,median_ranks_std_17_prob,mean_ranks_std_17_prob,std_ranks_std_17_prob,rank_1_max_18_prob,median_ranks_max_18_prob,mean_ranks_max_18_prob,std_ranks_max_18_prob,rank_1_median_18_prob,median_ranks_median_18_prob,mean_ranks_median_18_prob,std_ranks_median_18_prob,rank_1_mean_18_prob,median_ranks_mean_18_prob,mean_ranks_mean_18_prob,std_ranks_mean_18_prob,rank_1_std_18_prob,median_ranks_std_18_prob,mean_ranks_std_18_prob,std_ranks_std_18_prob,rank_1_max_19_prob,median_ranks_max_19_prob,mean_ranks_max_19_prob,std_ranks_max_19_prob,rank_1_median_19_prob,median_ranks_median_19_prob,mean_ranks_median_19_prob,std_ranks_median_19_prob,rank_1_mean_19_prob,median_ranks_mean_19_prob,mean_ranks_mean_19_prob,std_ranks_mean_19_prob,rank_1_std_19_prob,median_ranks_std_19_prob,mean_ranks_std_19_prob,std_ranks_std_19_prob,rank_1_max_20_prob,median_ranks_max_20_prob,mean_ranks_max_20_prob,std_ranks_max_20_prob,rank_1_median_20_prob,median_ranks_median_20_prob,mean_ranks_median_20_prob,std_ranks_median_20_prob,rank_1_mean_20_prob,median_ranks_mean_20_prob,mean_ranks_mean_20_prob,std_ranks_mean_20_prob,rank_1_std_20_prob,median_ranks_std_20_prob,mean_ranks_std_20_prob,std_ranks_std_20_prob,rank_1_max_21_prob,median_ranks_max_21_prob,mean_ranks_max_21_prob,std_ranks_max_21_prob,rank_1_median_21_prob,median_ranks_median_21_prob,mean_ranks_median_21_prob,std_ranks_median_21_prob,rank_1_mean_21_prob,median_ranks_mean_21_prob,mean_ranks_mean_21_prob,std_ranks_mean_21_prob,rank_1_std_21_prob,median_ranks_std_21_prob,mean_ranks_std_21_prob,std_ranks_std_21_prob
6iur_C-6iqj_A,30.515625,30.53125,30.453125,0.2252197265625,0.72998046875,0.7001953125,0.7060546875,0.01020050048828125,0.25,0.1099853515625,0.135009765625,0.0540771484375,0.345947265625,0.22802734375,0.2491455078125,0.045135498046875,98.75,98.5,98.4375,0.40576171875,94.0,92.125,92.4375,0.912109375,89.0625,84.875,85.5,1.68359375,11.9921875,14.78125,14.3828125,1.2275390625,94.1875,82.5,84.8125,7.3125,78.1875,61.25,64.4375,6.265625,75.9375,63.5625,66.25,5.421875,13.78125,7.87890625,9.984375,4.2109375,10.0,4.1875,21.6875,17.09375,7.0703125,21.6875,21.6875,21.6875,0.0,21.375,21.6875,21.640625,0.09381103515625,1.716796875,0.0,0.320068359375,0.55078125,0.5009765625,0.2236328125,0.2447509765625,0.11810302734375,9.66787338256836e-05,0.0006418228149414062,0.0005850791931152344,0.0003902912139892578,0.0031261444091796875,0.00366973876953125,0.003658294677734375,0.0005207061767578125,0.0196533203125,0.01184844970703125,0.01226043701171875,0.003719329833984375,0.541015625,0.23681640625,0.26318359375,0.126953125,0.0001100301742553711,0.0007343292236328125,0.0006666183471679688,0.00044465065002441406,0.003643035888671875,0.004180908203125,0.00418853759765625,0.0005726814270019531,0.022491455078125,0.0131988525390625,0.01381683349609375,0.0042724609375,0.5771484375,0.25048828125,0.28125,0.1353759765625,0.0001271963119506836,0.0008463859558105469,0.000766754150390625,0.0005121231079101562,0.004245758056640625,0.004764556884765625,0.00479888916015625,0.0006308555603027344,0.0255584716796875,0.0146484375,0.0155181884765625,0.00489044189453125,0.61865234375,0.263671875,0.30126953125,0.146728515625,0.00014925003051757812,0.0009860992431640625,0.0008902549743652344,0.0005922317504882812,0.00494384765625,0.005435943603515625,0.0055084228515625,0.0006952285766601562,0.0288848876953125,0.0162200927734375,0.017364501953125,0.005588531494140625,0.65625,0.2763671875,0.321044921875,0.1575927734375,0.000179290771484375,0.001171112060546875,0.0010528564453125,0.0006971359252929688,0.005725860595703125,0.006206512451171875,0.006320953369140625,0.0007781982421875,0.032379150390625,0.0179290771484375,0.0193634033203125,0.006336212158203125,0.693359375,0.2890625,0.340087890625,0.16845703125,0.00021374225616455078,0.0013990402221679688,0.001251220703125,0.0008268356323242188,0.006649017333984375,0.007099151611328125,0.00727081298828125,0.000873565673828125,0.036285400390625,0.01983642578125,0.0215911865234375,0.007190704345703125
6kmj_C-6i42_A,29.96875,29.921875,29.921875,0.3408203125,0.91015625,0.89501953125,0.89697265625,0.007808685302734375,0.60009765625,0.489990234375,0.4951171875,0.0712890625,0.662109375,0.57080078125,0.5751953125,0.0584716796875,98.9375,98.9375,98.9375,0.0,98.375,98.0625,98.0625,0.27978515625,93.6875,92.0625,91.9375,1.294921875,12.5546875,15.234375,15.65625,2.228515625,84.1875,63.65625,63.1875,14.375,58.4375,49.28125,46.28125,8.890625,57.90625,46.6875,45.40625,8.7734375,14.7890625,11.171875,11.0390625,2.69140625,10.0,3.875,3.875,3.84375,0.21875,21.6875,21.6875,21.6875,0.0,19.921875,20.125,20.171875,0.2484130859375,3.525390625,3.501953125,3.44921875,0.1429443359375,0.951171875,0.8193359375,0.8095703125,0.10504150390625,9.781122207641602e-05,0.00019979476928710938,0.00023508071899414062,0.00011539459228515625,0.01166534423828125,0.0135955810546875,0.01343536376953125,0.0013103485107421875,0.06878662109375,0.0584716796875,0.058807373046875,0.007778167724609375,0.95849609375,0.8330078125,0.8291015625,0.09765625,0.00011277198791503906,0.0002313852310180664,0.00027108192443847656,0.0001322031021118164,0.01361083984375,0.015716552734375,0.0155181884765625,0.0014104843139648438,0.07757568359375,0.06561279296875,0.06597900390625,0.00885772705078125,0.96435546875,0.8505859375,0.85107421875,0.08673095703125,0.00013065338134765625,0.00027108192443847656,0.0003154277801513672,0.0001533031463623047,0.0158843994140625,0.0181732177734375,0.0179290771484375,0.0015153884887695312,0.0875244140625,0.07373046875,0.073974609375,0.0101470947265625,1.0322265625,0.8681640625,0.88232421875,0.08880615234375,0.00015354156494140625,0.0003237724304199219,0.0003733634948730469,0.00018298625946044922,0.0184478759765625,0.0209808349609375,0.02069091796875,0.00165557861328125,0.09796142578125,0.08258056640625,0.08258056640625,0.01141357421875,1.095703125,0.8837890625,0.91259765625,0.09869384765625,0.00018143653869628906,0.0003838539123535156,0.0004398822784423828,0.00021469593048095703,0.0212860107421875,0.024139404296875,0.0237884521484375,0.0018434524536132812,0.10809326171875,0.09161376953125,0.09130859375,0.01239776611328125,1.134765625,0.9140625,0.94580078125,0.10723876953125,0.000213623046875,0.0004601478576660156,0.0005240440368652344,0.0002593994140625,0.0243988037109375,0.0276336669921875,0.027252197265625,0.0021114349365234375,0.11749267578125,0.10052490234375,0.10009765625,0.012969970703125
6qbb_P-6jfa_A,30.125,29.875,29.859375,0.405517578125,0.8701171875,0.8701171875,0.8681640625,0.004001617431640625,0.429931640625,0.385009765625,0.381103515625,0.033294677734375,0.51806640625,0.48193359375,0.478515625,0.0267181396484375,98.875,98.875,98.875,0.0,95.875,96.125,96.125,0.4013671875,88.25,88.625,88.4375,0.372314453125,17.171875,17.703125,17.65625,0.365478515625,44.875,40.53125,39.84375,3.875,37.625,32.9375,33.1875,3.54296875,36.40625,31.9375,31.96875,3.3125,6.41796875,5.8203125,5.7109375,0.86865234375,10.0,4.1875,4.5,4.46875,0.35498046875,21.6875,21.6875,21.6875,0.0,20.140625,20.703125,20.6875,0.3544921875,3.720703125,3.060546875,3.005859375,0.51806640625,0.5634765625,0.490478515625,0.499267578125,0.061553955078125,0.000598907470703125,0.0008182525634765625,0.0008096694946289062,0.00017499923706054688,0.0236358642578125,0.0225372314453125,0.02203369140625,0.0018243789672851562,0.0653076171875,0.05767822265625,0.055450439453125,0.006679534912109375,0.59375,0.5224609375,0.5322265625,0.060791015625,0.0006961822509765625,0.0009512901306152344,0.0009455680847167969,0.00020432472229003906,0.0267791748046875,0.025360107421875,0.0248870849609375,0.00203704833984375,0.0721435546875,0.06353759765625,0.061279296875,0.007289886474609375,0.62060546875,0.5654296875,0.56787109375,0.05780029296875,0.0008153915405273438,0.001117706298828125,0.00112152099609375,0.00025200843811035156,0.0302734375,0.028564453125,0.0280609130859375,0.00226593017578125,0.0792236328125,0.06988525390625,0.06744384765625,0.00788116455078125,0.64404296875,0.6083984375,0.60400390625,0.054046630859375,0.0009751319885253906,0.001346588134765625,0.0013475418090820312,0.0002963542938232422,0.0341796875,0.032196044921875,0.03167724609375,0.0025272369384765625,0.08660888671875,0.07666015625,0.07403564453125,0.0084686279296875,0.6689453125,0.646484375,0.64111328125,0.049530029296875,0.0011730194091796875,0.001644134521484375,0.0016431808471679688,0.0003619194030761719,0.038604736328125,0.03631591796875,0.0357666015625,0.0028247833251953125,0.0943603515625,0.08404541015625,0.08111572265625,0.00910186767578125,0.7109375,0.685546875,0.6787109375,0.04736328125,0.0014600753784179688,0.0020351409912109375,0.002040863037109375,0.0004429817199707031,0.043670654296875,0.04095458984375,0.0404052734375,0.0031833648681640625,0.1026611328125,0.0919189453125,0.08868408203125,0.00978851318359375
6l7c_S-6i7q_V,31.546875,31.28125,31.25,0.18310546875,0.7998046875,0.7998046875,0.77099609375,0.0614013671875,0.60986328125,0.304931640625,0.346923828125,0.10552978515625,0.64794921875,0.405029296875,0.431884765625,0.0811767578125,98.6875,98.1875,98.125,0.378662109375,94.0,92.625,91.0625,3.36328125,86.875,82.875,82.25,2.90234375,18.703125,22.296875,21.984375,1.482421875,92.125,35.9375,48.59375,23.34375,35.5,27.109375,27.71875,3.546875,48.9375,28.046875,30.9375,7.4375,23.21875,4.78125,9.515625,7.79296875,10.0,4.5,5.4375,5.46875,1.4482421875,21.6875,21.6875,21.6875,0.0,20.65625,21.328125,21.21875,0.331298828125,2.912109375,1.9580078125,1.9404296875,0.7421875,0.9443359375,0.439697265625,0.54833984375,0.2275390625,0.000820159912109375,0.001026153564453125,0.0012683868408203125,0.0005011558532714844,0.009613037109375,0.01386260986328125,0.0128631591796875,0.0018548965454101562,0.064208984375,0.040679931640625,0.043731689453125,0.00952911376953125,0.9501953125,0.46630859375,0.57080078125,0.2203369140625,0.0009355545043945312,0.0011806488037109375,0.0014524459838867188,0.0005626678466796875,0.0109405517578125,0.0157318115234375,0.0146026611328125,0.0021038055419921875,0.0706787109375,0.0452880859375,0.04852294921875,0.01024627685546875,0.953125,0.493408203125,0.59228515625,0.212158203125,0.001071929931640625,0.001369476318359375,0.001678466796875,0.0006437301635742188,0.01227569580078125,0.017822265625,0.0165557861328125,0.002422332763671875,0.07659912109375,0.05029296875,0.05352783203125,0.01078033447265625,0.966796875,0.5263671875,0.6162109375,0.204833984375,0.0012598037719726562,0.00159454345703125,0.0019521713256835938,0.0007352828979492188,0.01378631591796875,0.02020263671875,0.018768310546875,0.002788543701171875,0.0821533203125,0.055633544921875,0.058746337890625,0.01108551025390625,1.03125,0.560546875,0.65576171875,0.21875,0.0015010833740234375,0.0018520355224609375,0.002262115478515625,0.0008301734924316406,0.01568603515625,0.022918701171875,0.02130126953125,0.0031490325927734375,0.08837890625,0.06146240234375,0.06439208984375,0.0114593505859375,1.146484375,0.5947265625,0.6962890625,0.2347412109375,0.0017642974853515625,0.002162933349609375,0.0026340484619140625,0.0009584426879882812,0.0179595947265625,0.0260009765625,0.024200439453125,0.003520965576171875,0.09503173828125,0.06768798828125,0.0704345703125,0.0118408203125
6jnf_D-6ifc_A,31.046875,31.171875,31.125,0.16455078125,0.7001953125,0.68994140625,0.68798828125,0.0166168212890625,0.280029296875,0.239990234375,0.248046875,0.0213470458984375,0.364013671875,0.33203125,0.3359375,0.018524169921875,96.75,97.125,97.0625,0.50341796875,77.25,78.25,78.3125,3.166015625,71.9375,73.0625,72.6875,1.9619140625,20.296875,19.609375,19.46875,0.83740234375,53.34375,57.90625,57.5,2.076171875,44.125,45.84375,45.625,1.07421875,42.28125,45.125,44.75,1.3994140625,6.99609375,7.0,7.1484375,0.65673828125,10.0,4.8125,5.125,7.53125,5.0625,21.6875,21.6875,21.6875,0.0,21.65625,21.65625,21.640625,0.041595458984375,0.65869140625,0.55810546875,0.59033203125,0.348876953125,0.425048828125,0.4091796875,0.409912109375,0.049285888671875,0.0010509490966796875,0.0010547637939453125,0.0011301040649414062,0.00027251243591308594,0.01035308837890625,0.0089263916015625,0.00911712646484375,0.0009560585021972656,0.031646728515625,0.02777099609375,0.027923583984375,0.0025424957275390625,0.44921875,0.43359375,0.43408203125,0.052490234375,0.0012187957763671875,0.0012187957763671875,0.0013017654418945312,0.0003135204315185547,0.011749267578125,0.01013946533203125,0.01036834716796875,0.0010738372802734375,0.035064697265625,0.0308837890625,0.0310516357421875,0.002735137939453125,0.4736328125,0.45654296875,0.45849609375,0.05572509765625,0.0014190673828125,0.001415252685546875,0.001506805419921875,0.0003573894500732422,0.01329803466796875,0.0115203857421875,0.01177215576171875,0.0011997222900390625,0.038665771484375,0.03424072265625,0.034423828125,0.002910614013671875,0.5,0.48095703125,0.484130859375,0.058929443359375,0.0016632080078125,0.001651763916015625,0.00176239013671875,0.0004150867462158203,0.0150909423828125,0.01311492919921875,0.0134124755859375,0.0013523101806640625,0.042694091796875,0.037994384765625,0.038177490234375,0.003086090087890625,0.52978515625,0.505859375,0.51123046875,0.060577392578125,0.00199127197265625,0.001949310302734375,0.00206756591796875,0.0004630088806152344,0.017181396484375,0.01496124267578125,0.01529693603515625,0.0015211105346679688,0.0472412109375,0.042205810546875,0.0423583984375,0.003284454345703125,0.560546875,0.53173828125,0.53955078125,0.061065673828125,0.002349853515625,0.0023040771484375,0.0024433135986328125,0.0005254745483398438,0.0196075439453125,0.0171051025390625,0.017486572265625,0.0017309188842773438,0.052337646484375,0.046844482421875,0.047088623046875,0.0035076141357421875
6i42_B-6jfa_A,29.46875,29.71875,29.75,0.46142578125,0.85986328125,0.8701171875,0.87109375,0.006999969482421875,0.389892578125,0.344970703125,0.343994140625,0.0269012451171875,0.48388671875,0.449951171875,0.449462890625,0.0205535888671875,98.875,98.875,98.875,0.02099609375,95.625,96.125,96.0625,0.294189453125,88.1875,88.9375,88.9375,0.509765625,18.078125,17.984375,17.90625,0.3330078125,37.25,35.0625,36.125,2.44921875,31.171875,30.40625,30.4375,1.5732421875,30.15625,29.34375,29.34375,1.904296875,5.70703125,4.8203125,4.9375,0.568359375,10.0,4.8125,4.5,4.46875,0.259521484375,21.6875,21.6875,21.6875,0.0,20.375,20.8125,20.734375,0.254638671875,3.572265625,3.076171875,3.103515625,0.337158203125,0.57666015625,0.5166015625,0.52392578125,0.05169677734375,0.0010929107666015625,0.0013484954833984375,0.0013637542724609375,0.0003921985626220703,0.0241851806640625,0.023040771484375,0.0232696533203125,0.0012006759643554688,0.06610107421875,0.060760498046875,0.0606689453125,0.0037479400634765625,0.62255859375,0.5517578125,0.560546875,0.0538330078125,0.00127410888671875,0.0015544891357421875,0.0015773773193359375,0.0004546642303466797,0.0271453857421875,0.02587890625,0.0261383056640625,0.0013208389282226562,0.07257080078125,0.06683349609375,0.06671142578125,0.0041046142578125,0.6640625,0.5830078125,0.59619140625,0.0550537109375,0.0015316009521484375,0.0018301010131835938,0.0018596649169921875,0.0005297660827636719,0.03045654296875,0.029052734375,0.0293426513671875,0.00145721435546875,0.07940673828125,0.0732421875,0.07305908203125,0.00446319580078125,0.69970703125,0.6142578125,0.63037109375,0.055389404296875,0.0018253326416015625,0.002162933349609375,0.002223968505859375,0.0006437301635742188,0.0343017578125,0.032684326171875,0.033050537109375,0.0016117095947265625,0.086669921875,0.0799560546875,0.07989501953125,0.004802703857421875,0.7333984375,0.646484375,0.66455078125,0.055389404296875,0.0021514892578125,0.002582550048828125,0.00266265869140625,0.0007653236389160156,0.03863525390625,0.036834716796875,0.0372314453125,0.0017862319946289062,0.0946044921875,0.0872802734375,0.0872802734375,0.00514984130859375,0.765625,0.68212890625,0.69775390625,0.0546875,0.00261688232421875,0.0031719207763671875,0.00324249267578125,0.0009136199951171875,0.043609619140625,0.04156494140625,0.0419921875,0.0019483566284179688,0.10296630859375,0.094970703125,0.0950927734375,0.005466461181640625
6i7q_H-6i42_A,27.609375,28.5,28.546875,0.70361328125,0.91015625,0.89013671875,0.89013671875,0.007747650146484375,0.58984375,0.43505859375,0.445068359375,0.05316162109375,0.65380859375,0.52587890625,0.5341796875,0.043975830078125,99.0,98.9375,98.9375,0.0240020751953125,98.0,97.4375,97.5,0.2353515625,91.75,89.8125,89.875,0.74609375,14.3671875,17.671875,17.625,1.3525390625,64.125,48.46875,49.53125,5.9140625,51.75,40.4375,41.0,4.3203125,52.15625,40.65625,40.90625,4.65234375,7.56640625,5.0390625,5.1328125,1.318359375,10.0,3.5625,4.1875,4.1875,0.279541015625,21.6875,21.6875,21.6875,0.0,19.8125,20.609375,20.5625,0.288818359375,3.833984375,3.078125,3.12890625,0.301513671875,0.794921875,0.634765625,0.626953125,0.093505859375,0.0001671314239501953,0.0003173351287841797,0.00030803680419921875,6.74128532409668e-05,0.01555633544921875,0.01427459716796875,0.01453399658203125,0.0009655952453613281,0.07012939453125,0.04986572265625,0.050750732421875,0.0079803466796875,0.8056640625,0.66015625,0.65380859375,0.08685302734375,0.00019216537475585938,0.00036644935607910156,0.00035452842712402344,7.712841033935547e-05,0.0178070068359375,0.016357421875,0.01666259765625,0.0010900497436523438,0.0772705078125,0.05535888671875,0.056549072265625,0.0085296630859375,0.814453125,0.67919921875,0.6796875,0.08123779296875,0.000225067138671875,0.00042939186096191406,0.00041413307189941406,8.982419967651367e-05,0.020416259765625,0.01873779296875,0.019073486328125,0.0012388229370117188,0.08502197265625,0.061309814453125,0.0628662109375,0.00913238525390625,0.8232421875,0.697265625,0.70458984375,0.07562255859375,0.00026679039001464844,0.0005016326904296875,0.0004856586456298828,0.00010484457015991211,0.0234527587890625,0.02142333984375,0.021820068359375,0.0013933181762695312,0.0936279296875,0.067626953125,0.06964111328125,0.00982666015625,0.83447265625,0.70361328125,0.732421875,0.06744384765625,0.00031876564025878906,0.0005865097045898438,0.0005707740783691406,0.00012433528900146484,0.0269012451171875,0.02447509765625,0.0249176025390625,0.0015649795532226562,0.10308837890625,0.07452392578125,0.076904296875,0.01059722900390625,0.845703125,0.74072265625,0.759765625,0.06182861328125,0.0003838539123535156,0.0006957054138183594,0.0006833076477050781,0.000148773193359375,0.0307769775390625,0.0279388427734375,0.0284576416015625,0.001728057861328125,0.11279296875,0.08209228515625,0.084716796875,0.011260986328125
6sat_P-6spb_F,30.1875,30.0625,30.03125,0.1011962890625,0.81005859375,0.80517578125,0.7939453125,0.02288818359375,0.360107421875,0.330078125,0.322998046875,0.031005859375,0.449951171875,0.427001953125,0.417236328125,0.02886962890625,95.0625,95.0,94.75,1.5595703125,86.5,86.5,85.375,2.619140625,83.0625,82.5625,81.625,2.3671875,13.828125,13.7890625,13.703125,0.349365234375,38.0625,38.3125,37.9375,2.1484375,31.4375,32.40625,32.46875,1.7265625,31.96875,32.3125,31.890625,1.875,3.314453125,4.515625,4.484375,0.68359375,10.0,4.8125,4.8125,6.71875,5.1640625,21.6875,21.6875,21.6875,0.0,21.4375,21.46875,21.46875,0.125732421875,1.712890625,1.609375,1.4638671875,0.611328125,0.38330078125,0.358642578125,0.36572265625,0.040740966796875,0.002532958984375,0.0028057098388671875,0.003482818603515625,0.001552581787109375,0.0166778564453125,0.0177154541015625,0.017425537109375,0.0011386871337890625,0.04052734375,0.040435791015625,0.039642333984375,0.0036296844482421875,0.4140625,0.38330078125,0.393798828125,0.0426025390625,0.0029449462890625,0.003208160400390625,0.004016876220703125,0.0017833709716796875,0.0188446044921875,0.01995849609375,0.0196533203125,0.0012445449829101562,0.044830322265625,0.044708251953125,0.04376220703125,0.00391387939453125,0.44384765625,0.41015625,0.422119140625,0.04296875,0.00344085693359375,0.003734588623046875,0.004638671875,0.0020198822021484375,0.02130126953125,0.022491455078125,0.02215576171875,0.00136566162109375,0.0494384765625,0.049224853515625,0.048187255859375,0.00420379638671875,0.4736328125,0.439453125,0.45166015625,0.043212890625,0.004001617431640625,0.0043487548828125,0.00536346435546875,0.0022945404052734375,0.0241241455078125,0.025390625,0.0250396728515625,0.0015001296997070312,0.054534912109375,0.054168701171875,0.053070068359375,0.004497528076171875,0.50390625,0.470458984375,0.482666015625,0.0438232421875,0.004673004150390625,0.004985809326171875,0.0062103271484375,0.0026302337646484375,0.027374267578125,0.02874755859375,0.02838134765625,0.0016508102416992188,0.0601806640625,0.059722900390625,0.058563232421875,0.004840850830078125,0.53515625,0.501953125,0.5146484375,0.0443115234375,0.0054779052734375,0.005855560302734375,0.00724029541015625,0.0029621124267578125,0.0311126708984375,0.03265380859375,0.0322265625,0.0018320083618164062,0.06634521484375,0.0657958984375,0.0645751953125,0.00519561767578125
6qmp_A-6tzc_B,30.5625,30.984375,30.953125,0.2183837890625,0.85009765625,0.7998046875,0.80419921875,0.039794921875,0.83984375,0.5,0.5322265625,0.2210693359375,0.841796875,0.56005859375,0.58642578125,0.1846923828125,98.4375,98.25,98.25,0.311279296875,93.4375,89.375,89.625,3.029296875,86.9375,82.5,82.625,3.58203125,16.546875,17.203125,17.375,1.6142578125,96.125,80.375,77.6875,14.265625,88.6875,66.875,68.5625,14.2109375,84.75,64.8125,65.875,12.875,12.890625,11.296875,10.6875,3.337890625,10.0,3.875,3.875,5.90625,5.27734375,21.6875,21.6875,21.6875,0.0,19.78125,20.765625,20.671875,0.62158203125,3.5546875,2.841796875,2.59375,1.0205078125,0.9990234375,0.8544921875,0.75,0.2646484375,5.245208740234375e-06,0.00019466876983642578,0.0002722740173339844,0.00027561187744140625,0.011016845703125,0.00959014892578125,0.0091094970703125,0.0017213821411132812,0.07843017578125,0.04827880859375,0.050445556640625,0.020233154296875,0.9990234375,0.875,0.76806640625,0.2578125,5.9604644775390625e-06,0.00022470951080322266,0.0003132820129394531,0.0003159046173095703,0.0125579833984375,0.01092529296875,0.01038360595703125,0.001941680908203125,0.0865478515625,0.053253173828125,0.055694580078125,0.0220489501953125,0.99951171875,0.890625,0.7841796875,0.250244140625,6.9141387939453125e-06,0.00025963783264160156,0.0003609657287597656,0.0003635883331298828,0.0141448974609375,0.01245880126953125,0.0117950439453125,0.0021648406982421875,0.0941162109375,0.0584716796875,0.06097412109375,0.02362060546875,1.197265625,0.9091796875,0.8408203125,0.28662109375,8.285045623779297e-06,0.0003037452697753906,0.00042057037353515625,0.0004210472106933594,0.0160675048828125,0.01422882080078125,0.01346588134765625,0.0024471282958984375,0.10284423828125,0.0640869140625,0.06683349609375,0.0255889892578125,1.462890625,0.9228515625,0.90380859375,0.337158203125,9.834766387939453e-06,0.000362396240234375,0.0005002021789550781,0.0004982948303222656,0.0184326171875,0.0162811279296875,0.01543426513671875,0.00279998779296875,0.11236572265625,0.0701904296875,0.0733642578125,0.0279083251953125,1.5048828125,0.9326171875,0.9423828125,0.3427734375,1.138448715209961e-05,0.0004363059997558594,0.0006003379821777344,0.0005950927734375,0.021087646484375,0.0186767578125,0.0177001953125,0.003185272216796875,0.12158203125,0.07684326171875,0.08013916015625,0.02996826171875
6lry_B-6i42_A,22.171875,28.5625,28.0,1.9951171875,0.91015625,0.8798828125,0.8828125,0.009002685546875,0.7001953125,0.389892578125,0.4208984375,0.09332275390625,0.7421875,0.488037109375,0.51318359375,0.07647705078125,98.9375,98.9375,98.9375,0.0,98.3125,97.5625,97.625,0.333251953125,94.375,89.75,90.1875,1.4755859375,8.515625,16.984375,16.1875,2.658203125,82.625,50.5625,52.9375,10.3046875,72.0,44.53125,46.8125,8.7109375,72.375,43.96875,46.59375,8.9296875,5.6640625,3.328125,3.69921875,0.77685546875,10.0,4.8125,4.8125,4.59375,0.37109375,21.6875,21.6875,21.6875,0.0,19.921875,20.75,20.703125,0.274169921875,3.48046875,2.849609375,2.853515625,0.251953125,0.93212890625,0.5986328125,0.60595703125,0.140380859375,7.736682891845703e-05,0.00010907649993896484,0.00010842084884643555,2.300739288330078e-05,0.0083160400390625,0.00911712646484375,0.00931549072265625,0.0006647109985351562,0.061859130859375,0.036102294921875,0.038116455078125,0.00832366943359375,0.93603515625,0.6328125,0.634765625,0.1324462890625,9.042024612426758e-05,0.00012564659118652344,0.00012493133544921875,2.5987625122070312e-05,0.00969696044921875,0.0105133056640625,0.0107421875,0.0007467269897460938,0.06890869140625,0.040740966796875,0.04290771484375,0.00914764404296875,0.9404296875,0.66650390625,0.6630859375,0.125732421875,0.00010585784912109375,0.0001468658447265625,0.0001461505889892578,3.069639205932617e-05,0.011260986328125,0.01213836669921875,0.0124053955078125,0.0008459091186523438,0.07635498046875,0.0457763671875,0.048095703125,0.00997161865234375,0.95458984375,0.69921875,0.69140625,0.1219482421875,0.00012636184692382812,0.0001735687255859375,0.00017333030700683594,3.594160079956055e-05,0.013031005859375,0.0140228271484375,0.01433563232421875,0.0009660720825195312,0.0841064453125,0.05126953125,0.053680419921875,0.0107421875,1.041015625,0.728515625,0.72509765625,0.1343994140625,0.00015246868133544922,0.00020766258239746094,0.0002079010009765625,4.3392181396484375e-05,0.01507568359375,0.0161590576171875,0.01654052734375,0.0010976791381835938,0.09185791015625,0.057159423828125,0.059722900390625,0.011383056640625,1.123046875,0.7529296875,0.75634765625,0.14697265625,0.00018155574798583984,0.0002512931823730469,0.0002510547637939453,5.233287811279297e-05,0.0174713134765625,0.0186309814453125,0.01910400390625,0.001255035400390625,0.09979248046875,0.06365966796875,0.06634521484375,0.01190185546875
